Fecha,Actividad,Horario,Rango_de_edad,Duracion,Centro,Direccion,Distrito,Telefono
2023-11-28,Cubo Gym Cross Training/Funcional,"12:00, 15:00",De 15 a 64 años,45 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
2023-11-28,Fitness,"20:00, 21:00",De 15 a 64 años,60 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
2023-11-28,Fitness acuático,21:00,De 15 a 64 años,45 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
2023-11-28,Marcha nórdica por Madrid,19:00,De 15 a 64 años,90 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
2023-11-28,Natación acondicionamiento,"15:15, 20:00",De 15 a 64 años,45 minutos,Hortaleza,"Carretera Estación de Hortaleza, 11, 28033, Madrid",Hortaleza,913821965.0
2023-11-28,Ciclo sala,"17:15, 19:00",De 15 a 64 años,45 minutos,José María Cagigal,"Calle de Santa Pola, 22, 28008, Madrid",,
2023-11-28,Entrenamiento funcional,14:30,,30 minutos,José María Cagigal,"Calle de Santa Pola, 22, 28008, Madrid",,
2023-11-28,Fuerza GAP,15:00,De 15 a 64 años,60 minutos,José María Cagigal,"Calle de Santa Pola, 22, 28008, Madrid",,
2023-11-28,Natación acondicionamiento,"12:45, 16:15",De 15 a 64 años,45 minutos,José María Cagigal,"Calle de Santa Pola, 22, 28008, Madrid",,
2023-11-28,PRUEBA DE NIVEL NATACIÓN,16:00,A partir de 6 años,15 minutos,José María Cagigal,"Calle de Santa Pola, 22, 28008, Madrid",,
2023-11-28,Entrenamiento por intervalos,13:00,De 15 a 64 años,30 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231.0
2023-11-28,Estiramientos- relajación,20:00,De 15 a 64 años,30 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231.0
2023-11-28,Fuerza en sala multitrabajo,20:30,De 15 a 64 años,60 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231.0
2023-11-28,Natación acondicionamiento,15:45,De 15 a 64 años,45 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231.0
2023-11-28,Prueba de nivel natación,"12:45, 16:30, 16:45, 17:15",A partir de 6 años,5 minutos,Juan de Dios Román,"Calle de José Gutiérrez Maroto, 34, 28051, Madrid",Villa de Vallecas,914801231.0
2023-11-28,Caminar por Madrid,13:00,,60 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355.0
2023-11-28,Circuito fitness,21:00,De 15 a 65 años,60 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355.0
2023-11-28,Pilates Básico,"11:45, 16:00, 17:00",De 18 a 65 años,60 minutos,La Almudena,"Calle de Nicolás Salmerón, 4, 28032, Madrid",Ciudad Lineal,915882355.0
2023-11-28,Tenis acondicionamiento,12:30,,60 minutos,La Bombilla,"Paseo Senda del Rey, 8, 28040, Madrid",,
